match_id,score,how dismissed,strike rate,4s,6s,batting position
Matches/MatchScorecard_ODI.asp?MatchCode=4342,1,notout,25.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=4171,11,runout,166.67,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4175,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4173,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3978,1,runout,100.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3976,31,notout,152.94,5,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=2462,0,cSehwagbPowar,0.00,0,0,Middle Order
Matches/MatchScorecard_ODI.asp?MatchCode=2458,4,bPathan,66.67,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=2457,16,c†DhonibPathan,45.16,2,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=2459,20,bAgarkar,94.74,2,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4256,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4255,-,dnb,-,-,-,
Matches/MatchScorecard_ODI.asp?MatchCode=4215,5,lbwbDananjaya,50.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4165,54,notout,104.44,3,2,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4170,0,c†PainebRichardson,0.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4168,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4167,1,runout,50.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4166,3,notout,20.00,0,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4117,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4115,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4108,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4041,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4072,10,runout,150.00,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4070,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4068,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4005,13,runout,122.22,0,1,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4021,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4045,10,cAzharAlibRummanRaees,64.29,1,0,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4036,18,cSoutheebMilne,150.00,1,1,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4029,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4028,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4020,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=4031,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3928,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3926,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3925,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3910,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3908,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3906,-,dnb,-,-,-,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3904,26,notout,200.00,2,1,Tail
Matches/MatchScorecard_ODI.asp?MatchCode=3930,-,dnb,-,-,-,Tail
